iter	Passed	Remaining
1450	2999	7335
1451	3001	7333
1452	3002	7330
1453	3005	7329
1454	3007	7326
1455	3008	7323
1456	3010	7321
1457	3012	7319
1458	3014	7317
1459	3016	7314
1460	3018	7312
1461	3020	7309
1462	3022	7306
1463	3024	7304
1464	3026	7302
1465	3028	7299
1466	3029	7297
1467	3031	7294
1468	3033	7291
1469	3035	7288
1470	3036	7285
1471	3038	7283
1472	3040	7281
1473	3043	7279
1474	3045	7279
1475	3047	7276
1476	3049	7274
1477	3051	7272
1478	3053	7270
1479	3055	7268
1480	3057	7265
1481	3059	7263
1482	3061	7261
1483	3063	7258
1484	3065	7256
1485	3067	7253
1486	3069	7251
1487	3071	7248
1488	3073	7246
1489	3075	7244
1490	3077	7241
1491	3078	7239
1492	3081	7237
1493	3082	7234
1494	3084	7232
1495	3086	7229
1496	3088	7226
1497	3090	7225
1498	3092	7222
1499	3094	7220
1500	3096	7217
1501	3097	7214
1502	3099	7211
1503	3101	7209
1504	3103	7206
1505	3105	7204
1506	3107	7203
1507	3109	7201
1508	3111	7198
1509	3113	7196
1510	3115	7193
1511	3117	7191
1512	3119	7189
1513	3121	7188
1514	3123	7184
1515	3144	7225
1516	3146	7224
1517	3148	7222
1518	3151	7221
1519	3153	7218
1520	3155	7216
1521	3157	7214
1522	3159	7213
1523	3162	7212
1524	3164	7211
1525	3166	7209
1526	3169	7208
1527	3171	7206
1528	3173	7203
1529	3175	7201
1530	3177	7200
1531	3179	7196
1532	3181	7194
1533	3182	7191
1534	3185	7191
1535	3189	7193
1536	3191	7190
1537	3193	7188
1538	3195	7185
1539	3198	7185
1540	3200	7183
1541	3202	7180
1542	3204	7178
1543	3206	7177
1544	3208	7175
1545	3210	7172
1546	3212	7170
1547	3214	7167
1548	3216	7165
1549	3218	7163
1550	3220	7160
1551	3221	7158
1552	3223	7155
1553	3225	7153
1554	3227	7150
1555	3229	7147
1556	3231	7144
1557	3232	7142
1558	3234	7139
1559	3236	7137
1560	3238	7135
1561	3240	7132
1562	3242	7129
1563	3244	7127
1564	3246	7125
1565	3248	7123
1566	3250	7120
1567	3251	7117
1568	3253	7115
1569	3255	7113
1570	3257	7110
1571	3259	7108
1572	3261	7105
1573	3263	7103
1574	3265	7101
1575	3267	7098
1576	3269	7097
1577	3271	7094
1578	3273	7091
1579	3275	7090
1580	3277	7087
1581	3279	7084
1582	3280	7082
1583	3283	7080
1584	3285	7077
1585	3286	7075
1586	3288	7072
1587	3290	7070
1588	3292	7067
1589	3294	7065
1590	3296	7063
1591	3298	7060
1592	3300	7058
1593	3302	7056
1594	3304	7053
1595	3306	7051
1596	3308	7049
1597	3310	7046
1598	3311	7043
1599	3313	7040
1600	3315	7038
1601	3317	7036
1602	3319	7033
1603	3322	7033
1604	3324	7032
1605	3326	7029
1606	3328	7026
1607	3330	7024
1608	3332	7022
1609	3333	7019
1610	3335	7017
1611	3337	7014
1612	3339	7012
1613	3341	7010
1614	3343	7007
1615	3345	7005
1616	3347	7002
1617	3348	6998
1618	3350	6996
1619	3352	6994
1620	3354	6992
1621	3356	6989
1622	3357	6986
1623	3360	6984
1624	3362	6982
1625	3364	6981
1626	3366	6979
1627	3368	6976
1628	3370	6974
1629	3372	6972
1630	3374	6969
1631	3375	6966
1632	3377	6964
1633	3380	6962
1634	3382	6960
1635	3383	6958
1636	3385	6955
1637	3387	6952
1638	3389	6950
1639	3391	6948
1640	3393	6946
1641	3395	6943
1642	3396	6940
1643	3399	6939
1644	3401	6936
1645	3402	6933
1646	3404	6931
1647	3406	6928
1648	3408	6926
1649	3410	6924
1650	3412	6921
1651	3414	6919
1652	3415	6916
1653	3418	6914
1654	3419	6912
1655	3421	6909
1656	3423	6907
1657	3425	6904
1658	3427	6902
1659	3429	6900
1660	3431	6897
1661	3433	6895
1662	3435	6892
1663	3436	6890
1664	3438	6887
1665	3440	6885
1666	3442	6882
1667	3444	6880
1668	3446	6877
1669	3447	6875
1670	3449	6872
1671	3451	6870
1672	3453	6867
1673	3455	6865
1674	3457	6862
1675	3459	6860
1676	3461	6858
1677	3463	6856
1678	3465	6854
1679	3467	6851
1680	3469	6849
1681	3470	6847
1682	3472	6844
1683	3474	6842
1684	3476	6840
1685	3478	6837
1686	3480	6834
1687	3482	6832
1688	3484	6829
1689	3485	6827
1690	3487	6825
1691	3489	6821
1692	3490	6818
1693	3492	6816
1694	3494	6813
